condition,clickStatus,targetH,targetS,targetL,distr1H,distr1S,distr1L,distr2H,distr2S,distr2L,allSpeakerContents
split,target,105,58,50,130,27,50,286,92,50,The target is lime green.
close,target,291,98,50,316,57,50,272,75,50,The target seems like the middle purple on the red-blue spectrum. / In the middle.
split,target,32,9,50,194,15,50,60,96,50,The target is gray-brown.
close,target,142,57,50,94,28,50,158,26,50,The target is the bright green.
close,target,279,2,50,255,15,50,312,10,50,The target is gray.
close,target,164,0,50,217,14,50,300,11,50,The target is gray.
close,target,118,71,50,148,79,50,91,40,50,The target is a bright yellow-green.
split,target,117,31,50,98,72,50,0,62,50,The target is more of an olive green.
split,target,79,24,50,123,24,50,170,0,50,The target is kind of beige-green.
far,target,22,47,50,90,36,50,282,33,50,The target is orangish brown.
split,target,210,13,50,337,4,50,251,87,50,The target is blue-gray.
far,target,340,92,50,208,93,50,54,37,50,The target is hot pink/red.
close,target,286,37,50,304,20,50,323,49,50,The target is purple with blue undertones.
far,target,220,8,50,283,92,50,85,53,50,gray
split,target,107,82,50,145,83,50,193,60,50,yellowish green
far,target,53,91,50,311,54,50,250,93,50,yellow
split,target,323,18,50,266,26,50,66,55,50,light purple
far,target,47,69,50,97,94,50,316,40,50,yellow
close,distr1,300,97,50,316,61,50,328,98,50,purple / more dark than light
far,target,230,59,50,358,79,50,160,70,50,blue
split,target,312,30,50,276,23,50,100,48,50,light purple
close,distr2,321,70,50,287,40,50,330,66,50,magenta
far,target,145,40,50,358,71,50,225,8,50,green
split,target,76,54,50,63,25,50,230,10,50,bright green
far,target,73,54,50,343,28,50,189,2,50,green
far,target,347,96,50,269,57,50,81,21,50,red
far,target,144,17,50,297,85,50,262,11,50,greenish blue
close,target,38,28,50,126,3,50,48,2,50,light brown
split,distr2,273,10,50,312,49,50,105,75,50,blue
close,target,320,64,50,332,70,50,288,49,50,darkish magenta
split,target,7,18,50,290,7,50,318,60,50,light brown
split,target,295,84,50,280,68,50,90,28,50,magenta
close,target,328,65,50,328,16,50,313,37,50,magenta
close,distr1,62,42,50,96,60,50,122,58,50,greenish yellow
close,distr1,124,34,50,103,62,50,118,48,50,light green
far,target,270,73,50,339,17,50,60,85,50,purple
close,target,343,29,50,329,20,50,313,84,50,brown
close,target,294,17,50,330,10,50,12,15,50,purple
far,target,319,93,50,121,6,50,348,95,50,purple
close,distr1,256,37,50,317,19,50,256,12,50,bright purple
close,target,292,56,50,267,43,50,243,39,50,purple
close,distr2,58,3,50,148,13,50,86,8,50,faded green
split,target,258,24,50,240,44,50,174,91,50,light purple
split,target,320,22,50,228,15,50,103,39,50,light purple
far,target,191,34,50,102,17,50,108,68,50,blue
far,target,357,4,50,234,96,50,84,15,50,gray
split,target,200,38,50,200,68,50,5,9,50,teal
far,target,15,66,50,64,65,50,200,0,50,brown
far,target,114,24,50,355,3,50,331,71,50,light green
split,target,175,13,50,80,6,50,317,91,50,teal
split,target,31,51,50,22,29,50,282,71,50,yellowish brown
split,target,183,86,50,173,85,50,325,30,50,bright blue
split,target,225,10,50,288,10,50,138,26,50,gray
far,target,234,90,50,157,63,50,291,6,50,blue
close,target,147,46,50,118,23,50,152,32,50,brightish green
close,distr2,187,58,50,199,80,50,191,70,50,light blue
split,target,163,0,50,75,12,50,212,93,50,gray
close,target,342,25,50,291,6,50,333,33,50,faded purple
far,target,276,86,50,128,49,50,220,59,50,purple
close,distr1,353,23,50,12,43,50,358,48,50,brownish gray
split,target,308,12,50,30,0,50,47,99,50,purple
close,target,349,48,50,318,37,50,339,75,50,brownish purple
split,target,105,69,50,126,51,50,169,5,50,bright green
far,target,35,98,50,108,76,50,321,3,50,orange
split,target,349,20,50,300,15,50,147,15,50,mauve
far,target,108,86,50,162,40,50,297,38,50,bright green
split,distr1,78,58,50,76,81,50,335,2,50,darker yellowish
split,target,156,9,50,112,13,50,36,48,50,blue grey
close,target,136,90,50,153,94,50,78,71,50,brighter green
close,target,319,57,50,287,72,50,272,41,50,pink
far,target,297,55,50,172,64,50,359,40,50,purple
close,distr1,138,53,50,112,33,50,123,71,50,dull green
close,target,250,9,50,14,3,50,222,19,50,lavender
far,target,29,42,50,128,79,50,309,83,50,orange
close,target,114,29,50,124,52,50,151,72,50,dullest green
close,target,63,62,50,71,32,50,82,72,50,yellow
split,target,303,12,50,124,0,50,151,37,50,purple
close,target,276,17,50,230,6,50,254,15,50,most purple one
far,target,44,39,50,163,38,50,245,88,50,orange
close,target,214,24,50,351,1,50,179,11,50,blue
split,target,135,80,50,96,88,50,50,79,50,"green, not yellow-green"
far,target,148,17,50,234,75,50,355,93,50,grayish
far,target,43,96,50,95,45,50,13,48,50,orange
split,target,350,21,50,28,11,50,105,34,50,pink
far,target,116,10,50,164,96,50,53,61,50,gray
far,target,63,69,50,174,39,50,121,53,50,yellow
close,target,92,99,50,146,78,50,113,77,50,yellow green
split,target,292,24,50,240,35,50,134,22,50,pinkish purple
close,target,231,68,50,256,47,50,242,23,50,royal blue
split,target,5,23,50,280,14,50,21,86,50,dull orange
far,target,234,74,50,175,78,50,103,25,50,royal blue
close,target,198,10,50,168,18,50,188,24,50,grayest one
split,target,94,58,50,103,71,50,42,5,50,duller yellow green
far,target,284,23,50,28,15,50,70,45,50,purple
far,target,280,66,50,202,83,50,353,70,50,purple
split,target,49,1,50,94,5,50,104,70,50,browner gray
close,distr1,211,20,50,261,25,50,280,31,50,blue
close,target,92,66,50,143,89,50,125,33,50,yellow green
far,target,356,21,50,148,42,50,218,58,50,pinkish
far,target,40,64,50,169,47,50,292,56,50,orange
split,target,319,62,50,323,40,50,191,20,50,brighter pink
far,target,6,47,50,173,54,50,305,4,50,reddish
split,target,78,82,50,93,72,50,304,65,50,yellow green
far,target,37,38,50,177,76,50,211,94,50,brown
split,target,199,63,50,173,15,50,114,36,50,blue
close,target,184,0,50,248,7,50,183,7,50,brownish gray
close,target,221,65,50,271,35,50,203,14,50,blue
split,distr1,340,4,50,40,23,50,325,89,50,gray brown
close,target,206,11,50,183,27,50,198,25,50,darkest one
far,target,338,41,50,63,49,50,39,12,50,pink
split,target,204,20,50,201,52,50,150,84,50,dark gry blue
split,target,289,35,50,261,50,50,82,8,50,pinkish purple
split,target,23,70,50,2,40,50,254,74,50,bright orange
far,target,291,29,50,66,30,50,99,78,50,Hi - pick the same color as in the example given before.
split,target,141,74,50,102,74,50,324,38,50,The color to pick is the one that is not neon.
far,target,182,72,50,164,96,50,225,92,50,The color to pick is the lighter of the same two colors.
far,target,88,36,50,199,47,50,17,63,50,The color to pick is like... poo. / It could be the color of grass...
far,distr2,93,17,50,163,94,50,193,67,50,This is the color of a rainy sky.
far,target,156,17,50,111,64,50,335,87,50,The color of a RAINY sky...
split,target,4,62,50,11,57,50,50,90,50,"No worries! This time, pick the color of a bright lipstick."
split,target,312,53,50,283,87,50,202,44,50,Pink. Are we allowed to say colors? / Holy c**p. Okay.
close,target,131,11,50,79,24,50,69,7,50,greenish-gray
close,distr1,90,7,50,68,3,50,40,26,50,Stormy
split,target,124,7,50,114,2,50,283,48,50,Greenish-gray
close,target,209,27,50,232,49,50,243,16,50,You did good. / light blue
close,target,173,39,50,136,48,50,110,11,50,blue
split,target,249,93,50,265,56,50,213,66,50,Does it tell you when you're right? / darker blue
far,target,18,54,50,183,30,50,80,64,50,This could be the color of an autumn leaf...
far,target,280,89,50,350,3,50,85,80,50,"Yep / This is an easter egg color, also a color in the rainbow"
split,target,184,10,50,186,27,50,133,95,50,The color of a stormy sky.
split,target,153,69,50,165,48,50,46,10,50,A combination of yellow and green.
close,target,9,63,50,358,74,50,18,97,50,This is a matte lipstick color. Muted.
split,distr2,70,83,50,49,52,50,305,90,50,Like a daffodil
close,target,265,30,50,281,80,50,226,97,50,"Dafflodils are yellow, BTW. / Muted color. / Hmmm. Screens do show colors differently. / Pick the muted color."
close,target,295,94,50,269,92,50,284,74,50,Bright color.
close,target,138,56,50,115,41,50,69,26,50,Bright color.
far,target,337,87,50,12,9,50,190,81,50,Bright lipstick!
split,target,330,70,50,293,76,50,89,71,50,Also could be a lipstick color. / Strawberry
split,target,109,43,50,75,76,50,189,8,50,grass
close,target,26,98,50,8,82,50,15,60,50,blunder years? / Pumpkin
far,target,156,42,50,204,72,50,225,79,50,grass
close,target,281,66,50,290,86,50,277,21,50,The non-muted of the two colors.
close,target,100,31,50,79,26,50,157,28,50,grass
far,target,276,65,50,26,96,50,153,94,50,Your blunder years lipstick. / lol
split,target,272,67,50,238,56,50,209,87,50,Blunder years lipstick again...
far,target,311,0,50,20,98,50,269,36,50,Stormy sky
far,target,115,71,50,58,62,50,333,80,50,grass
split,target,69,32,50,106,59,50,31,48,50,toddler poo
far,target,57,47,50,356,30,50,16,89,50,toddler poo
close,target,159,37,50,110,19,50,79,24,50,the brighter one
split,target,199,20,50,102,8,50,29,95,50,"Not pumpkin, not stormy sky"
close,target,113,11,50,157,53,50,173,45,50,stormy
far,target,215,65,50,295,90,50,48,6,50,sunny sky
split,distr1,282,44,50,253,49,50,318,6,50,blunder years
far,target,75,18,50,199,12,50,248,66,50,toddler poo
split,target,155,0,50,347,17,50,262,69,50,stormy
close,target,274,3,50,331,13,50,283,6,50,"oh, uh. ok. / the muted one of the two... i think / stormy?"
close,target,300,19,50,253,13,50,309,43,50,Yes! / Muted blunder years
far,target,124,83,50,167,59,50,253,86,50,Looks like really bright grass
split,target,140,82,50,138,97,50,165,24,50,muted grass
far,target,173,98,50,191,82,50,213,38,50,last one / The last one you wrote.
close,target,280,56,50,242,99,50,232,84,50,Ha ha - blunder years!
close,distr1,317,13,50,254,17,50,183,0,50,Hello. Darkest Purple.
split,target,242,27,50,275,11,50,81,72,50,Blue.
split,target,179,3,50,56,5,50,230,82,50,Purplish grey
split,target,263,7,50,245,25,50,335,40,50,Doing well. Purple-grey again
close,target,303,3,50,308,11,50,358,13,50,I'll tell you when you're wrong. Purple-grey again.
close,target,72,63,50,77,87,50,110,69,50,Yellow-brown
close,target,254,18,50,271,53,50,240,25,50,The shade between purple and blue
far,target,317,67,50,223,42,50,287,5,50,Bright purple
far,target,161,22,50,45,82,50,198,81,50,Green-grey
far,target,184,68,50,148,47,50,332,14,50,Blue-green
close,target,342,86,50,350,19,50,4,26,50,Bright purple
split,target,167,38,50,101,29,50,358,79,50,Blue green
close,target,305,0,50,35,19,50,145,6,50,The most purple of the three
far,target,146,25,50,217,66,50,307,16,50,Blue green
split,distr1,32,19,50,14,10,50,212,68,50,Purple-brown
far,target,117,12,50,58,57,50,243,43,50,Last one was wrong. Green-grey
close,target,309,14,50,3,11,50,319,32,50,The color between purple and grey
split,target,161,14,50,195,29,50,333,46,50,Blue-green
far,target,218,19,50,126,34,50,0,68,50,blue
close,distr2,335,59,50,324,70,50,350,53,50,Second brightest purple / Hello? / It's the second brightest purple / without any grey
split,target,146,51,50,171,24,50,19,24,50,Last was wrong. Brightest green
split,target,54,85,50,47,59,50,206,41,50,Bright yellow
close,target,144,48,50,168,83,50,140,92,50,Grey-green
close,target,265,51,50,254,62,50,297,40,50,Darker pure purple
split,target,341,20,50,358,22,50,97,61,50,Darkest purple
close,target,301,53,50,321,30,50,294,17,50,bright purple
close,target,145,20,50,146,9,50,57,25,50,brighter green blue
close,target,146,93,50,109,60,50,81,61,50,Green blue
close,target,23,20,50,38,24,50,5,3,50,Reddish purple
split,target,205,93,50,192,95,50,351,91,50,bright blue
split,target,225,24,50,203,15,50,87,32,50,deeper brighter purple
far,target,316,20,50,30,25,50,174,33,50,pure purple
close,target,70,75,50,130,62,50,121,47,50,yellow
far,target,209,62,50,40,49,50,340,62,50,blue
close,distr2,74,2,50,146,7,50,205,9,50,the darkest purple
far,target,311,62,50,188,45,50,224,93,50,last one was wrong. Purple
split,target,2,6,50,355,29,50,293,46,50,purple-grey
split,target,299,19,50,313,39,50,87,79,50,light purple
split,target,54,14,50,265,0,50,11,37,50,green
far,target,179,3,50,65,90,50,240,31,50,grey
far,target,25,80,50,255,79,50,145,7,50,orange
far,target,349,96,50,228,41,50,150,96,50,red
split,distr1,268,3,50,294,0,50,110,77,50,darker purple
far,target,22,83,50,318,36,50,201,24,50,last one was wrong. orange
close,distr2,334,35,50,335,69,50,340,14,50,"pale, purer purple"
split,target,147,71,50,160,43,50,285,84,50,last one wrong. / bright green
far,target,224,43,50,171,23,50,153,99,50,dark blue
split,target,202,26,50,226,73,50,86,49,50,light blue
far,target,283,39,50,72,65,50,327,5,50,deep purple
far,target,49,91,50,111,39,50,197,94,50,yellow
close,distr1,147,86,50,134,50,50,128,85,50,bluish green
far,target,94,7,50,207,97,50,312,41,50,grey
split,target,196,24,50,145,5,50,305,72,50,blue
far,target,75,89,50,173,43,50,51,49,50,yellow
close,target,293,88,50,309,71,50,322,53,50,bright purple
far,target,142,80,50,145,19,50,18,28,50,bright green
far,target,240,87,50,199,36,50,326,84,50,bright blue
far,target,20,62,50,178,36,50,297,45,50,orange
close,target,121,50,50,110,17,50,75,39,50,brighter green
split,target,311,59,50,312,39,50,137,56,50,brighter purple
split,target,44,13,50,43,41,50,27,96,50,grey
far,target,263,18,50,301,78,50,46,86,50,bluish
far,target,152,79,50,4,90,50,73,21,50,lime green
close,target,140,2,50,77,11,50,19,10,50,the most bluish grey
close,target,302,18,50,261,2,50,330,12,50,brighter purple
split,target,350,46,50,9,26,50,259,82,50,most redish
close,target,319,47,50,335,33,50,310,26,50,brighter purple
split,target,296,60,50,274,47,50,166,28,50,bright purple
far,target,283,31,50,27,68,50,41,15,50,purple
close,target,115,95,50,152,68,50,93,42,50,bright green
close,target,198,14,50,161,6,50,186,23,50,darker of the greyish blue
split,target,72,90,50,145,82,50,263,14,50,yellow
far,target,126,90,50,191,7,50,343,79,50,bright green
far,target,81,93,50,148,38,50,20,74,50,yellowish green
far,target,259,51,50,88,20,50,15,76,50,purple
split,target,1,14,50,37,23,50,315,47,50,greyish purple
split,target,122,34,50,122,80,50,38,99,50,dark green
far,target,353,39,50,33,5,50,54,38,50,reddish
split,target,195,82,50,202,77,50,248,29,50,brighter blue lighter side
split,target,15,61,50,343,80,50,266,22,50,orange
close,target,118,20,50,168,43,50,156,70,50,pale green darker one
split,target,144,6,50,51,11,50,55,68,50,bluish
far,target,183,83,50,315,43,50,210,82,50,aquamarine
close,target,112,56,50,145,96,50,138,70,50,darker green
close,target,310,20,50,277,21,50,298,83,50,pale and darker purple
far,target,92,10,50,190,56,50,261,48,50,greyish
close,target,82,13,50,56,28,50,88,44,50,greyish
split,target,80,53,50,73,62,50,173,92,50,pale green darker one
close,target,23,30,50,58,14,50,33,21,50,reddish most bright out of the two
split,target,65,74,50,74,34,50,20,66,50,yellow
close,target,87,55,50,156,48,50,136,86,50,pale green darker
split,target,294,18,50,256,34,50,104,72,50,pale purple
far,target,221,42,50,117,36,50,12,55,50,blue
split,target,312,56,50,343,44,50,80,61,50,bright purple
split,target,152,16,50,90,36,50,274,7,50,greyish/bluish green
far,target,9,79,50,36,61,50,168,90,50,red
close,target,271,43,50,260,84,50,234,93,50,most true purple
close,target,74,45,50,56,25,50,111,34,50,a combination of the that green and that brown
split,distr1,205,9,50,303,4,50,91,64,50,pale bluish purple
far,target,142,91,50,286,98,50,27,75,50,green
split,target,348,22,50,322,39,50,181,74,50,the paler of the two similar colors
far,target,354,93,50,41,75,50,285,31,50,the boldest
split,distr2,124,18,50,150,2,50,77,60,50,the brightest
close,distr2,231,91,50,226,81,50,257,83,50,sorry that was my fault. the other one. / hrm. the most vibrant.
close,distr1,95,50,50,132,86,50,131,37,50,the one most similar to the brightest
close,target,118,25,50,143,64,50,115,39,50,the most drab and most gray of them all
close,target,224,15,50,236,44,50,221,69,50,the lightest
close,distr2,339,9,50,256,3,50,330,17,50,the color that is second most pink
split,target,126,1,50,156,5,50,358,81,50,the least green of the grays
close,target,274,43,50,282,76,50,222,93,50,the least bright purple
close,target,211,22,50,343,6,50,267,25,50,blue
split,target,84,23,50,167,43,50,88,85,50,the most drab olive green
close,target,53,60,50,38,38,50,48,76,50,the most drab yellow
close,distr1,255,21,50,231,38,50,241,9,50,the most vibrant puple
split,target,332,6,50,14,1,50,86,76,50,the more pink of the grays
split,target,296,40,50,271,33,50,103,53,50,hot pink
far,target,52,47,50,254,98,50,104,86,50,yellow
split,target,141,50,50,115,77,50,56,16,50,the non-neon green
far,target,133,20,50,248,82,50,215,49,50,gray
close,target,57,1,50,116,3,50,219,16,50,the pinker of the grays
far,target,138,6,50,28,93,50,220,27,50,gray
split,target,218,95,50,236,19,50,140,14,50,blue
far,target,31,46,50,313,7,50,203,81,50,orange
close,target,150,35,50,159,20,50,166,59,50,the more muted and green
far,target,195,99,50,339,32,50,34,70,50,blue
close,distr1,314,47,50,332,58,50,299,55,50,the one most in-between in color to the other two
far,target,140,50,50,307,6,50,323,96,50,green
far,target,98,57,50,53,11,50,273,36,50,neon green
split,target,93,11,50,46,3,50,287,90,50,the more green of the two grays
far,target,112,29,50,243,88,50,78,98,50,nice work. the most green.
split,target,64,13,50,84,22,50,230,28,50,taupe. the more brown and less green one.
far,target,73,80,50,178,46,50,72,25,50,neon yellow.
close,target,348,86,50,11,61,50,356,43,50,the brightest cherry red.
close,target,353,10,50,295,12,50,221,12,50,the least blue or purple. the most gray.
split,target,67,48,50,52,73,50,170,4,50,the greenest.
far,target,358,68,50,124,64,50,321,84,50,stop sign red.
far,target,129,19,50,306,56,50,226,6,50,the most green.
far,target,275,60,50,128,59,50,195,81,50,purple
far,target,140,63,50,53,9,50,1,41,50,green
close,target,248,56,50,282,58,50,258,98,50,the darker more muted of the blues.
split,target,199,17,50,198,79,50,4,27,50,gray
close,target,271,8,50,132,3,50,2,2,50,the pinkest and purplest.
split,target,36,31,50,66,20,50,296,57,50,sweet. the oranges. / orange est.
close,target,227,91,50,267,30,50,228,31,50,the brightest boldest blue.
far,target,13,44,50,45,86,50,43,12,50,orange.
split,target,337,72,50,332,97,50,276,89,50,the more muted of the pinks. less neon.
far,target,129,4,50,42,54,50,150,94,50,the grayest
split,distr1,274,20,50,314,76,50,112,14,50,purple
far,target,170,62,50,208,41,50,86,22,50,aquamarine. least blue. least olive green.
split,target,156,3,50,23,7,50,127,28,50,nope. good work. good team. the more blue of the grays. the least pink.
far,distr1,241,2,50,216,88,50,129,34,50,purple
far,distr2,104,24,50,3,31,50,212,90,50,green box
close,target,82,69,50,136,97,50,141,67,50,darkest color
split,target,78,42,50,89,86,50,316,27,50,looks like an olive
close,distr2,139,19,50,98,28,50,147,53,50,medium color
far,target,311,56,50,90,52,50,22,63,50,bright purple
close,distr2,317,13,50,334,8,50,284,0,50,more vivid than the other two colors
split,target,277,91,50,316,82,50,108,78,50,darkest color
split,target,218,79,50,226,20,50,162,18,50,brightest color
far,target,15,90,50,320,48,50,149,8,50,brightest red/coral color
split,target,295,7,50,245,24,50,101,30,50,like a stone
split,distr1,124,80,50,87,68,50,185,78,50,green like a highlighter
split,distr1,161,24,50,178,42,50,64,41,50,the duller blue
close,distr1,90,61,50,120,48,50,100,92,50,looks like pea soup
split,distr1,12,32,50,343,53,50,50,8,50,pale mauve pink
close,target,285,69,50,312,76,50,310,23,50,bluest purple
far,distr1,6,89,50,37,39,50,65,71,50,bright red
far,distr1,255,48,50,91,97,50,341,28,50,blue
split,target,132,46,50,94,78,50,29,16,50,green like airport carpet
far,target,171,29,50,317,85,50,12,25,50,more blue than purple
far,distr2,195,67,50,78,18,50,241,12,50,brightest blue
close,distr1,319,55,50,329,63,50,300,46,50,reddish violet
close,distr2,61,64,50,71,92,50,101,61,50,avocado
close,target,156,29,50,122,4,50,90,18,50,lightest blue
close,target,219,9,50,31,0,50,206,40,50,bluest grey
far,target,181,8,50,44,47,50,356,87,50,blue/grey
far,target,130,53,50,42,82,50,33,9,50,moss green
close,target,160,17,50,107,11,50,212,2,50,lightest blue
split,distr2,28,16,50,23,40,50,143,21,50,grayish purple
split,target,203,53,50,210,28,50,9,97,50,lightest blue
far,target,294,28,50,138,1,50,249,96,50,most purple
split,distr1,154,60,50,139,62,50,13,98,50,airport carpet
far,target,344,32,50,177,28,50,157,73,50,most purple
split,target,342,4,50,21,1,50,274,44,50,bluish grey
split,distr2,214,16,50,289,28,50,252,80,50,palest purple/blue
close,distr1,63,91,50,50,74,50,58,42,50,brightest yellow
split,distr1,331,21,50,277,22,50,196,17,50,reddish purple
close,target,65,6,50,66,20,50,51,31,50,grey
far,target,346,67,50,140,18,50,199,45,50,pinkish red
far,distr1,344,47,50,232,39,50,53,71,50,dark pink
split,target,180,15,50,181,54,50,296,98,50,greyish blue
close,distr1,127,63,50,148,71,50,121,91,50,bluish green
close,distr2,140,58,50,159,73,50,162,51,50,seawater green
far,distr2,314,82,50,79,65,50,31,63,50,pink
far,target,58,34,50,20,40,50,194,92,50,brownish grey
split,distr1,229,24,50,260,10,50,325,75,50,bluish pink
far,target,123,92,50,205,98,50,77,20,50,highlighter green
close,distr1,307,0,50,90,3,50,71,16,50,bluest grey
close,target,115,34,50,162,27,50,154,16,50,green
split,target,82,54,50,90,68,50,233,63,50,pea soup
split,target,118,8,50,43,32,50,151,88,50,"a dull greenish gray color / it's not bright green / it's not very green, and it's not brown either"
far,target,218,18,50,65,34,50,61,98,50,"not yellow, not tan, purplish"
far,target,106,12,50,337,71,50,238,41,50,"not magenta, not purple"
far,target,46,49,50,99,43,50,197,73,50,"not green, not blue"
split,target,85,14,50,56,42,50,269,93,50,"not purple, not tan"
close,distr1,341,16,50,297,27,50,228,18,50,"not purple, not pink.. it's a shade in between the other 2 / its a more dull pinkish color"
split,target,109,81,50,78,67,50,314,64,50,it's the brightest green
far,target,38,64,50,194,53,50,297,17,50,"not blue, not purple"
split,target,236,14,50,217,54,50,335,58,50,"not pink, not sky blue"
far,target,276,83,50,69,54,50,288,8,50,"not green, not grey"
split,target,145,14,50,193,12,50,349,93,50,"not red, it's the greener of the other 2"
far,target,168,43,50,18,11,50,220,92,50,"not grey, not blue"
split,target,75,94,50,132,94,50,182,1,50,"not bright green, not grey.. it's the yellowish green"
split,target,268,30,50,300,58,50,90,93,50,"not pink, not green"
far,target,54,5,50,91,52,50,273,63,50,"not purple, not green"
far,target,215,31,50,108,5,50,25,86,50,"not grey, not orange"
close,target,234,33,50,256,63,50,232,88,50,"not blue, not purple.. it's the more faded looking one"
close,target,51,36,50,111,29,50,81,18,50,it's the more yellowish tan color
far,target,217,11,50,38,59,50,284,82,50,"not orange, not pink"
split,target,305,37,50,333,91,50,226,64,50,"not magenta, not blue.. it's the lighter pink"
far,target,218,11,50,52,36,50,344,35,50,it's the grey color
close,target,101,54,50,78,85,50,105,93,50,"not the brightest green, or the yellowest green"
close,target,99,24,50,148,53,50,130,73,50,"not green, not turquoise.. the greyish color"
split,target,198,60,50,198,32,50,269,37,50,"not purple, not greyish blue.. it's more of a sky blue"
split,target,268,60,50,250,88,50,87,28,50,"it's the more purple looking purple, not the bluish purple"
far,target,162,33,50,296,89,50,1,14,50,"not pink, not brownish"
far,target,40,6,50,270,12,50,59,55,50,"not purplish grey, not yellowish.. just plain grey"
far,target,207,64,50,179,0,50,250,38,50,"not purple, not grey"
far,target,252,73,50,356,67,50,25,10,50,"not red, not grey"
close,target,155,23,50,147,34,50,176,32,50,"its the more faded, greyish shade of green"
split,target,288,71,50,263,60,50,0,92,50,"not red, not purple... the more pink looking color"
close,target,173,34,50,192,84,50,188,36,50,"it's not the bright blue, it has more green to it than the others"
close,target,90,21,50,46,16,50,136,13,50,"not tan, and not the darker shade of green"
close,target,127,6,50,41,1,50,199,36,50,"not grey, not blue"
split,target,194,13,50,138,9,50,248,98,50,"not blue, and not the greener shade of grey"
far,target,189,29,50,327,99,50,155,83,50,"not pink, not bright green"
split,target,166,30,50,141,33,50,18,44,50,"nor orange, and not the brighter green shade / not orange*"
close,target,328,55,50,358,34,50,318,25,50,"it's the brighest pink shade, not the other 2 duller shades"
close,target,103,38,50,144,46,50,82,14,50,it's the shade of green that looks most grass-like
split,target,349,62,50,326,66,50,234,34,50,"not pink, not purple"
close,target,232,17,50,23,7,50,299,14,50,"the more bluish purple, not the grey or pinkish purple"
split,target,125,49,50,155,74,50,53,34,50,not tan.. the more grass-like shade of green
close,target,147,82,50,85,86,50,159,94,50,"not the yellowish green, or the brighter green.. looks like a normal green"
far,target,20,47,50,120,69,50,169,13,50,"not green, not grey"
split,target,191,26,50,157,33,50,110,98,50,"it's the more bluish grey, not the green or greenish grey"
close,target,300,24,50,341,52,50,306,42,50,"not the reddish pink, or the bright pink.. it's the duller pink"
far,target,261,61,50,3,70,50,305,7,50,"not red, not grey"
close,target,196,60,50,179,13,50,189,67,50,the target is a midrange blue. The non-target boxes are gray and light blue
split,target,91,46,50,129,51,50,49,94,50,The target is light green. The non-target boxes are yellow and a darker green.
far,target,62,76,50,206,90,50,350,74,50,The target is yellow
split,target,275,56,50,304,88,50,355,82,50,The target is purple. Non-targets are pink & red.
close,target,204,11,50,87,3,50,184,6,50,"Target is a slate blue. Non-targets are gray, and a lighter slate-gray."
far,target,54,63,50,287,3,50,306,73,50,target is yellow
split,target,15,7,50,223,12,50,358,93,50,target is tan
far,target,37,29,50,192,62,50,161,41,50,"target is brown, non targets are teal/green"
far,target,279,1,50,201,80,50,177,56,50,target is gray
far,target,118,64,50,305,51,50,9,74,50,target is green
split,target,30,27,50,31,42,50,273,18,50,target is the duller/grayer of the two tan/brown squares
split,target,123,78,50,157,71,50,255,15,50,"target is BRIGHT green, non targets are teal & purple"
split,target,127,34,50,65,35,50,264,68,50,"target is true green, non targets are purple and olive"
split,target,129,23,50,158,20,50,49,68,50,"oooh boy... okay, target is the more green of the two grayish boxes"
split,target,21,74,50,25,38,50,178,24,50,target is orange
far,target,203,37,50,84,97,50,173,58,50,target is gray blue and dull compared to the non-targets
far,target,111,9,50,277,79,50,358,31,50,target is gray
split,target,213,51,50,246,16,50,337,57,50,target is blue
split,target,290,37,50,230,18,50,59,76,50,"target is purple / bright purple, sorry"
far,target,284,6,50,337,97,50,238,53,50,target is gray
close,target,224,32,50,275,14,50,267,45,50,"target is blue, non targets are more purple"
close,target,215,86,50,220,17,50,229,46,50,target is bright sky blue
far,target,155,65,50,4,48,50,33,68,50,target is green
split,target,23,34,50,11,77,50,272,30,50,"target is brown, non targets orange & purple"
split,target,15,73,50,1,63,50,257,4,50,"target is orange, non targets gray & coral"
close,target,93,20,50,110,54,50,115,37,50,target is gray-green... both non-target greens are brighter & more green
far,target,351,63,50,309,2,50,120,36,50,target is red
close,target,127,59,50,96,84,50,97,68,50,target is the darkest green
split,target,82,88,50,116,77,50,15,34,50,target is the more yellow of the two greens
far,target,124,92,50,71,15,50,229,21,50,target is green
close,target,285,91,50,269,80,50,239,73,50,target is the brighter of the two purples
close,target,270,30,50,261,7,50,338,28,50,target is purple
close,target,349,96,50,1,46,50,344,56,50,brightest red
far,target,219,74,50,125,64,50,262,10,50,blue
split,target,86,42,50,115,23,50,351,91,50,the lighter/more yellow green
close,target,163,55,50,130,72,50,138,36,50,"teal, non targets bright green and olive"
split,target,238,14,50,246,35,50,105,29,50,dusty/gray-purple
far,target,79,54,50,44,38,50,10,58,50,green
far,target,235,86,50,149,88,50,173,22,50,blue
close,target,172,11,50,172,38,50,172,25,50,true gray
split,target,249,55,50,220,24,50,81,10,50,brighter purple
far,target,144,10,50,312,53,50,11,47,50,gray
far,target,235,81,50,337,25,50,184,0,50,blue
split,target,209,90,50,218,51,50,68,64,50,bright sky blue
close,target,279,44,50,240,69,50,249,97,50,purple
split,target,291,49,50,308,54,50,46,65,50,darkest purple
split,target,205,67,50,193,80,50,115,24,50,darkest blue
split,target,41,97,50,35,74,50,255,89,50,lighter orange / kind of yellow like
close,distr1,234,8,50,283,2,50,61,5,50,gray with a blue tint / almost a murky purple
